"","tms","bs"
"1351","11",5
"1352","11",5
"1353","11",5
"1354","11",5
"1355","11",5
"1356","11",5
"1357","11",5
"1358","11",5
"1359","11",5
"1360","11",5
"1361","11",5
"1362","11",5
"1363","11",5
"1364","11",5
"1365","11",5
"1366","11",5
"1367","11",5
"1368","11",5
"1369","11",5
"1370","11",5
"1371","11",5
"1372","11",5
"1373","11",5
"1374","11",5
"1375","11",5
"1376","11",2
"1377","11",1
"1378","11",5
"1379","11",5
"1380","11",5
"1381","11",5
"1382","11",5
"1383","11",5
"1384","11",5
"1385","11",5
"1386","11",5
"1387","11",5
"1388","11",5
"1389","11",5
"1390","11",5
"1391","11",5
"1392","11",5
"1393","11",5
"1394","12",5
"1395","12",5
"1396","12",5
"1397","12",5
"1398","12",5
"1399","12",5
"1400","12",5
"1401","12",5
"1402","12",5
"1403","12",5
"1404","12",5
"1405","12",5
"1406","12",5
"1407","12",5
"1408","12",5
"1409","12",5
"1410","12",5
"1411","12",5
"1412","12",5
"1413","12",5
"1414","12",5
"1415","12",5
"1416","12",5
"1417","12",5
"1418","12",5
"1419","12",5
"1420","12",1
"1421","12",1
"1422","12",5
"1423","12",5
"1424","12",5
"1425","12",5
"1426","12",5
"1427","12",5
"1428","12",5
"1429","12",5
"1430","12",5
"1431","12",5
"1432","12",5
"1433","12",5
"1434","12",5
"1435","12",5
"1436","12",5
"1437","12",5
"1438","12",5
"1439","12",5
"1440","12",5
"1441","12",5
"1442","12",5
"1443","12",5
"1444","12",5
"1445","12",5
"1446","12",5
"1447","12",5
"1448","12",5
"1449","12",5
"1450","12",2
"1451","12",5
"1452","12",5
"1453","12",5
"1454","12",5
"1455","12",5
"1456","12",5
"1457","12",5
"1458","12",5
"1459","12",5
"1460","12",5
"1461","12",1
"1462","12",5
"1463","12",5
"1464","12",5
"1465","12",1
"1466","12",1
"1467","12",1
"1468","12",5
"1469","12",5
"1470","12",1
"1471","12",3
"1472","12",1
"1473","12",3
"1474","12",3
"1475","12",1
"1476","12",1
"1477","12",1
"1478","12",1
"1479","12",1
"1480","12",1
"1481","12",1
"1482","12",1
"1483","12",1
"1484","12",1
"1485","12",1
"1486","12",1
"1487","12",1
"1488","12",1
"1489","12",1
"1490","12",1
"1491","12",1
"1492","12",1
"1493","12",1
"1494","12",1
"1495","12",1
"1496","12",1
"1497","12",1
"1498","12",1
"1499","12",1
"1500","12",1
"1501","12",1
"1502","12",1
"1503","12",1
"1504","12",1
"1505","12",1
"1506","12",1
"1507","12",1
"1508","12",1
"1509","12",1
"1510","12",1
"1511","12",1
"1512","12",1
"1513","12",1
"1514","12",1
"1515","12",1
"1516","12",1
"1517","12",1
"1518","12",1
"1519","12",1
"1520","12",1
"1521","12",1
"1522","12",1
"1523","12",1
"1524","12",1
"1525","12",1
"1526","12",1
"1527","12",1
"1528","12",1
"1529","12",1
"1530","12",1
"1531","12",1
"1532","12",2
"1533","12",1
"1534","12",1
"1535","12",1
"1536","12",1
"1537","12",1
"1538","12",1
"1539","12",1
"1540","12",1
"1541","12",1
"1542","12",1
"1543","12",1
"1544","12",1
"1545","12",1
"1546","12",1
"1547","12",1
"1548","12",1
"1549","12",1
"1550","12",3
"1551","12",5
"1552","12",1
"1553","12",5
"1554","12",3
"1555","12",3
"1556","12",3
"1557","12",5
"1558","12",5
"1559","12",5
"1560","12",5
"1561","13",1
"1562","13",1
"1563","13",5
"1564","13",1
"1565","13",5
"1566","13",1
"1567","13",2
"1568","13",5
"1569","13",5
"1570","13",5
"1571","13",5
"1572","13",5
"1573","13",5
"1574","13",5
"1575","13",5
"1576","13",5
"1577","13",5
"1578","13",5
"1579","13",5
"1580","13",5
"1581","13",5
"1582","13",5
"1583","13",5
"1584","13",5
"1585","13",5
"1586","13",5
"1587","13",5
"1588","13",5
"1589","13",5
"1590","13",2
"1591","13",5
"1592","13",5
"1593","13",5
"1594","13",5
"1595","13",5
"1596","13",5
"1597","13",5
"1598","13",5
"1599","13",5
"1600","13",5
"1601","13",5
"1602","13",5
"1603","13",5
"1604","13",5
"1605","13",5
"1606","13",5
"1607","13",5
"1608","13",5
"1609","13",5
"1610","13",5
"1611","13",5
"1612","13",5
"1613","13",5
"1614","13",5
"1615","13",5
"1616","13",5
"1617","13",5
"1618","13",5
"1619","13",5
"1620","13",5
"1621","13",5
"1622","13",5
"1623","13",5
"1624","13",5
"1625","13",5
"1626","13",5
"1627","13",5
"1628","13",5
"1629","13",5
"1630","13",5
"1631","13",3
"1632","13",1
"1633","13",1
"1634","13",1
"1635","13",1
"1636","13",1
"1637","13",1
"1638","13",5
"1639","13",3
"1640","13",5
"1641","13",5
"1642","13",2
"1643","13",5
"1644","13",1
"1645","13",3
"1646","13",5
"1647","13",2
"1648","13",1
"1649","13",3
"1650","13",1
"1651","13",1
"1652","13",3
"1653","13",3
"1654","13",1
"1655","13",5
"1656","13",3
"1657","13",5
"1658","13",5
"1659","13",5
"1660","13",3
"1661","13",5
"1662","13",5
"1663","13",5
"1664","13",5
"1665","13",5
"1666","13",1
"1667","13",1
"1668","13",5
"1669","13",5
"1670","13",5
"1671","13",5
"1672","13",5
"1673","13",5
"1674","13",5
"1675","13",5
"1676","13",5
"1677","13",5
"1678","13",5
"1679","13",5
"1680","13",5
"1681","13",5
"1682","13",5
"1683","13",5
"1684","13",5
"1685","13",5
"1686","13",5
"1687","13",5
"1688","13",5
"1689","13",5
"1690","13",5
"1691","13",5
"1692","13",5
"1693","13",5
"1694","13",5
"1695","13",5
"1696","13",5
"1697","13",5
"1698","13",5
"1699","13",5
"1700","13",5
"1701","13",5
"1702","13",5
"1703","13",5
"1704","13",5
"1705","13",5
"1706","13",5
"1707","13",5
"1708","13",5
"1709","13",5
"1710","13",5
"1711","13",5
"1712","13",5
"1713","13",5
"1714","13",5
"1715","13",5
"1716","13",5
"1717","13",5
"1718","13",5
"1719","13",5
"1720","13",5
"1721","13",5
"1722","13",1
"1723","14",5
"1724","14",5
"1725","14",5
"1726","14",5
"1727","14",5
"1728","14",5
"1729","14",5
"1730","14",5
"1731","14",5
"1732","14",5
"1733","14",5
"1734","14",5
"1735","14",5
"1736","14",5
"1737","14",5
"1738","14",5
"1739","14",5
"1740","14",5
"1741","14",5
"1742","14",5
"1743","14",5
"1744","14",5
"1745","14",5
"1746","14",5
"1747","14",5
"1748","14",5
"1749","14",5
"1750","14",1
"1751","14",5
"1752","14",1
"1753","14",5
"1754","14",1
"1755","14",5
